Title,Cost
Colonizer Training Camp,8
Deep Well Heating,13
Cloud Seeding,11
Search For Life,3
Martian Rails,13
Capital,26
Asteroid,14
Comet,21
Big Asteroid,27
Water Import From Europa,25
Equatorial Magnetizer,11
Domed Crater,24
Noctis City,18
Methane From Titan,28
Imported Hydrogen,16
Research Outpost,18
Phobos Space Haven,25
Black Polar Dust,15
Arctic Algae,12
Predators,14
Eos Chasma National Park,16
Cupola City,16
Lunar Bean,13
Optimal Aerobraking,7
Underground City,18
Regolith Eaters,13
Ghg Producing Bacteria,8
Ants,9
Release of inert gas,14
Nitrogen-Rich Asteroid,31
Rover Construction,8
Deimos Down,31
Asteroid Mining,30
Food Factory,12
Archaebacteria,6
Carbonate Processing,6
Natural Preserve,9
Nuclear Power,10
Algae,10
Adapted Lichen,9
Fish,9
Lake Marineris,18
Small Animals,6
Kelp Farming,17
Beam from a Thorium Asteroid,32
Mangrove,12
Trees,13
Mining Expedition,12
Mining Rights,9
Birds,10
Towing a comet,23
Space Mirrors,3
Solar wind power,11
Ice asteroid,23
Giant Ice asteroid,36
Ganymede Colony,20
Giant Space mirror,17
Grass,11
Heater,6
Peroxide Power,7
Bushes,10
Greenhouses,6
Nuclear Zone,10
Fueled Generators,1
Ironworks,11
Power Grid,18
Steelworks,15
Ore Processor,13
Open City,23
Solar Power,11
Breathing Filters,11
Artificial Photosynthesis,12
Artificial Lake,15
Geothermal Power,11
Farming,16
Dust Seals,2
Urbanized Area,10
Moss,4
Ghg Factories,11
Subterranean Reservoir,11
Ecological Zone,12
Zeppelins,13
Worms,8
Decomposers,5
Fusion Power,14
Symbiotic Fungus,4
Extreme-Cold Fungus,13
Advanced ecosystems,11
Great Dam,12
Strip Mine,25
Wave Power,8
Lava flows,18
Power plant,4
Mohole Area,20
Large Convoy,36
Tectonic Stress Power,18
Nitrophilic Moss,8
Herbivores,12
Insects,9
Insulation,2
Adaption Technology,12
Designed Microorganisms,16
Nitrite Reducing Bacteria,11
Industrial Mircobes,12
Lichen,7
Convoy from europa,15
Imported GHG,7
Imported Nitrogen,23
Micro-mills,3
Magnetic Field Generators,20
Shuttles,10
Import of advanced GHG,9
Windmills,6
Tundra Farming,16
Aerobraked Ammonia Asteroid,26
Magnetic Field Dome,5
Pets,10
Protected Valley,23
Noctis Farming,10
Water Splitting plant,12
Heat Trappers,6
Soil Factory,9
Ice Cap Melting,5
Biomass Combustors,4
Livestock,13
Aquifer Pumping,18
Flooding,7
Energy Saving,15
Local Heat Trapping,1
Permafrost Extraction,8
Plantation,15
Immigration Shuttles,31
Immigrant City,13
Underground Detonations,6
Soletta,35
Rad-Chem Factory,8
Special Design,4
